# purification_name	identification	day	number	bait	prey	score
SC0002	MALDI-TOF MS			YAL002W	YAL002W	
SC0002	MALDI-TOF MS			YAL002W	YAL005C	
SC0002	MALDI-TOF MS			YAL002W	YDL229W	
SC0002	MALDI-TOF MS			YAL002W	YLL024C	
SC0002	MALDI-TOF MS			YAL002W	YLR148W	
SC0002	MALDI-TOF MS			YAL002W	YLR396C	
SC0002	MALDI-TOF MS			YAL002W	YMR231W	
SC0002	MALDI-TOF MS			YAL002W	YPL045W	
SC0005	MALDI-TOF MS			YAL005C	YAL005C	
SC0005	MALDI-TOF MS			YAL005C	YGR214W	
SC0005	MALDI-TOF MS			YAL005C	YJL130C	
SC0005	MALDI-TOF MS			YAL005C	YKL182W	
SC0005	MALDI-TOF MS			YAL005C	YLL024C	
SC0005	MALDI-TOF MS			YAL005C	YOR151C	
SC0005	MALDI-TOF MS			YAL005C	YPR010C	
SC0006(2)	MALDI-TOF MS			YAL007C	YAL005C	
SC0006(2)	MALDI-TOF MS			YAL007C	YAL007C	
SC0006(2)	MALDI-TOF MS			YAL007C	YAR002C-A	
SC0006(2)	MALDI-TOF MS			YAL007C	YBR127C	
SC0006(2)	MALDI-TOF MS			YAL007C	YDL229W	
SC0006(2)	MALDI-TOF MS			YAL007C	YDR012W	
SC0006(2)	MALDI-TOF MS			YAL007C	YDR087C	
SC0006(2)	MALDI-TOF MS			YAL007C	YDR101C	
SC0006(2)	MALDI-TOF MS			YAL007C	YDR127W	
SC0006(2)	MALDI-TOF MS			YAL007C	YDR385W	
SC0006(2)	MALDI-TOF MS			YAL007C	YER110C	
SC0006(2)	MALDI-TOF MS			YAL007C	YGL200C	
SC0006(2)	MALDI-TOF MS			YAL007C	YGR085C	
SC0006(2)	MALDI-TOF MS			YAL007C	YLR342W	
SC0006(2)	MALDI-TOF MS			YAL007C	YML012W	
SC0006(2)	MALDI-TOF MS			YAL007C	YML024W	
SC0006(2)	MALDI-TOF MS			YAL007C	YMR290C	
SC0006(2)	MALDI-TOF MS			YAL007C	YPL131W	
SC0006(2)	MALDI-TOF MS			YAL007C	YPL211W	
SC0008	MALDI-TOF MS			YAL009W	YBR031W	
SC0008	MALDI-TOF MS			YAL009W	YBR127C	
SC0008	MALDI-TOF MS			YAL009W	YDL040C	
SC0008	MALDI-TOF MS			YAL009W	YDL229W	
SC0008	MALDI-TOF MS			YAL009W	YDR012W	
SC0008	MALDI-TOF MS			YAL009W	YDR211W	
SC0008	MALDI-TOF MS			YAL009W	YER165W	
SC0008	MALDI-TOF MS			YAL009W	YGL076C	
SC0008	MALDI-TOF MS			YAL009W	YHR004C	
SC0008	MALDI-TOF MS			YAL009W	YJL176C	
SC0008	MALDI-TOF MS			YAL009W	YJR145C	
SC0008	MALDI-TOF MS			YAL009W	YLL024C	
SC0008	MALDI-TOF MS			YAL009W	YLR342W	
SC0008	MALDI-TOF MS			YAL009W	YLR448W	
SC0008	MALDI-TOF MS			YAL009W	YML024W	
SC0008	MALDI-TOF MS			YAL009W	YPL106C	
SC0009	MALDI-TOF MS			YAL010C	YAL010C	
SC0009	MALDI-TOF MS			YAL010C	YBR127C	
SC0009	MALDI-TOF MS			YAL010C	YDL055C	
SC0009	MALDI-TOF MS			YAL010C	YDR190C	
SC0009	MALDI-TOF MS			YAL010C	YJL066C	
SC0009	MALDI-TOF MS			YAL010C	YLL024C	
SC0009	MALDI-TOF MS			YAL010C	YMR203W	
SC0009	MALDI-TOF MS			YAL010C	YPL235W	
SC0009	MALDI-TOF MS			YAL010C	YPR080W	
SC0011	MALDI-TOF MS			YAL017W	YAL017W	
SC0012	MALDI-TOF MS			YAL019W	YAL005C	
SC0012	MALDI-TOF MS			YAL019W	YAL019W	
SC0012	MALDI-TOF MS			YAL019W	YBR031W	
SC0012	MALDI-TOF MS			YAL019W	YBR084W	
SC0012	MALDI-TOF MS			YAL019W	YDL229W	
SC0012	MALDI-TOF MS			YAL019W	YIL075C	
SC0012	MALDI-TOF MS			YAL019W	YJL130C	
SC0012	MALDI-TOF MS			YAL019W	YLL024C	
SC0012	MALDI-TOF MS			YAL019W	YPL198W	
SC0014	MALDI-TOF MS			YAL024C	YAL024C	
SC0014	MALDI-TOF MS			YAL024C	YHR158C	
SC0015	MALDI-TOF MS			YAL041W	YAL041W	
SC0015	MALDI-TOF MS			YAL041W	YCL011C	
SC0015	MALDI-TOF MS			YAL041W	YDL055C	
SC0015	MALDI-TOF MS			YAL041W	YDL229W	
SC0015	MALDI-TOF MS			YAL041W	YDR012W	
SC0015	MALDI-TOF MS			YAL041W	YER114C	
SC0015	MALDI-TOF MS			YAL041W	YGL076C	
SC0015	MALDI-TOF MS			YAL041W	YJL130C	
SC0015	MALDI-TOF MS			YAL041W	YJL177W	
SC0015	MALDI-TOF MS			YAL041W	YKL182W	
SC0015	MALDI-TOF MS			YAL041W	YLL024C	
SC0015	MALDI-TOF MS			YAL041W	YLR340W	
SC0015	MALDI-TOF MS			YAL041W	YLR357W	
SC0015	MALDI-TOF MS			YAL041W	YOR204W	
