# purification_name	identification	day	number	bait	prey	score
ABP1_1	LC-MS/MS			YCR088W	YBR020W	
ABP1_1	LC-MS/MS			YCR088W	YBR196C	
ABP1_1	LC-MS/MS			YCR088W	YCR084C	
ABP1_1	LC-MS/MS			YCR088W	YDR342C	
ABP1_1	LC-MS/MS			YCR088W	YDR523C	
ABP1_1	LC-MS/MS			YCR088W	YFL018C	
ABP1_1	LC-MS/MS			YCR088W	YFL039C	
ABP1_1	LC-MS/MS			YCR088W	YGL206C	
ABP1_1	LC-MS/MS			YCR088W	YHR016C	
ABP1_1	LC-MS/MS			YCR088W	YJR045C	
ABP1_1	LC-MS/MS			YCR088W	YJR065C	
ABP1_1	LC-MS/MS			YCR088W	YJR121W	
ABP1_1	LC-MS/MS			YCR088W	YKL182W	
ABP1_1	LC-MS/MS			YCR088W	YNL071W	
ABP1_1	LC-MS/MS			YCR088W	YOR367W	
AFG3_1	LC-MS/MS			YER017C	YBR019C	
AFG3_1	LC-MS/MS			YER017C	YBR127C	
AFG3_1	LC-MS/MS			YER017C	YBR196C	
AFG3_1	LC-MS/MS			YER017C	YBR247C	
AFG3_1	LC-MS/MS			YER017C	YCL040W	
AFG3_1	LC-MS/MS			YER017C	YDL229W	
AFG3_1	LC-MS/MS			YER017C	YER091C	
AFG3_1	LC-MS/MS			YER017C	YFL018C	
AFG3_1	LC-MS/MS			YER017C	YGL253W	
AFG3_1	LC-MS/MS			YER017C	YGR155W	
AFG3_1	LC-MS/MS			YER017C	YJL034W	
AFG3_1	LC-MS/MS			YER017C	YJR045C	
AFG3_1	LC-MS/MS			YER017C	YKL035W	
AFG3_1	LC-MS/MS			YER017C	YLR044C	
AFG3_1	LC-MS/MS			YER017C	YLR259C	
AFG3_1	LC-MS/MS			YER017C	YMR186W	
AIP1_1	LC-MS/MS			YMR092C	YHR199C	
AKL1_1	LC-MS/MS			YBR059C	YBR118W	
AKL1_1	LC-MS/MS			YBR059C	YER177W	
AKL1_1	LC-MS/MS			YBR059C	YJR045C	
AKL1_1	LC-MS/MS			YBR059C	YPR033C	
APG12_1	LC-MS/MS			YBR217W	REP1	
APG12_1	LC-MS/MS			YBR217W	YBL030C	
APG12_1	LC-MS/MS			YBR217W	YBL099W	
APG12_1	LC-MS/MS			YBR217W	YBR011C	
APG12_1	LC-MS/MS			YBR217W	YBR020W	
APG12_1	LC-MS/MS			YBR217W	YBR072W	
APG12_1	LC-MS/MS			YBR217W	YBR080C	
APG12_1	LC-MS/MS			YBR217W	YBR085W	
APG12_1	LC-MS/MS			YBR217W	YBR118W	
APG12_1	LC-MS/MS			YBR217W	YBR127C	
APG12_1	LC-MS/MS			YBR217W	YBR166C	
APG12_1	LC-MS/MS			YBR217W	YCL018W	
APG12_1	LC-MS/MS			YBR217W	YDL029W	
APG12_1	LC-MS/MS			YBR217W	YDL055C	
APG12_1	LC-MS/MS			YBR217W	YDL097C	
APG12_1	LC-MS/MS			YBR217W	YDL126C	
APG12_1	LC-MS/MS			YBR217W	YDL147W	
APG12_1	LC-MS/MS			YBR217W	YDR127W	
APG12_1	LC-MS/MS			YBR217W	YDR148C	
APG12_1	LC-MS/MS			YBR217W	YDR214W	
APG12_1	LC-MS/MS			YBR217W	YDR394W	
APG12_1	LC-MS/MS			YBR217W	YDR502C	
APG12_1	LC-MS/MS			YBR217W	YEL060C	
APG12_1	LC-MS/MS			YBR217W	YER021W	
APG12_1	LC-MS/MS			YBR217W	YER025W	
APG12_1	LC-MS/MS			YBR217W	YER110C	
APG12_1	LC-MS/MS			YBR217W	YER178W	
APG12_1	LC-MS/MS			YBR217W	YFL037W	
APG12_1	LC-MS/MS			YBR217W	YFL039C	
APG12_1	LC-MS/MS			YBR217W	YFR004W	
APG12_1	LC-MS/MS			YBR217W	YFR030W	
APG12_1	LC-MS/MS			YBR217W	YGL016W	
APG12_1	LC-MS/MS			YBR217W	YGL048C	
APG12_1	LC-MS/MS			YBR217W	YGL105W	
APG12_1	LC-MS/MS			YBR217W	YGL206C	
APG12_1	LC-MS/MS			YBR217W	YGL234W	
APG12_1	LC-MS/MS			YBR217W	YGL245W	
APG12_1	LC-MS/MS			YBR217W	YGR218W	
APG12_1	LC-MS/MS			YBR217W	YGR240C	
APG12_1	LC-MS/MS			YBR217W	YGR282C	
APG12_1	LC-MS/MS			YBR217W	YHR020W	
APG12_1	LC-MS/MS			YBR217W	YHR027C	
APG12_1	LC-MS/MS			YBR217W	YHR033W	
APG12_1	LC-MS/MS			YBR217W	YHR076W	
APG12_1	LC-MS/MS			YBR217W	YHR200W	
APG12_1	LC-MS/MS			YBR217W	YHR201C	
APG12_1	LC-MS/MS			YBR217W	YIL125W	
APG12_1	LC-MS/MS			YBR217W	YIL128W	
APG12_1	LC-MS/MS			YBR217W	YJL066C	
APG12_1	LC-MS/MS			YBR217W	YJL130C	
APG12_1	LC-MS/MS			YBR217W	YJL138C	
APG12_1	LC-MS/MS			YBR217W	YJR045C	
APG12_1	LC-MS/MS			YBR217W	YJR077C	
APG12_1	LC-MS/MS			YBR217W	YJR109C	
APG12_1	LC-MS/MS			YBR217W	YJR121W	
APG12_1	LC-MS/MS			YBR217W	YKL035W	
APG12_1	LC-MS/MS			YBR217W	YKL104C	
APG12_1	LC-MS/MS			YBR217W	YKL145W	
APG12_1	LC-MS/MS			YBR217W	YLR059C	
APG12_1	LC-MS/MS			YBR217W	YLR180W	
APG12_1	LC-MS/MS			YBR217W	YLR216C	
APG12_1	LC-MS/MS			YBR217W	YLR423C	
APG12_1	LC-MS/MS			YBR217W	YLR438W	
APG12_1	LC-MS/MS			YBR217W	YML085C	
APG12_1	LC-MS/MS			YBR217W	YML124C	
APG12_1	LC-MS/MS			YBR217W	YMR056C	
APG12_1	LC-MS/MS			YBR217W	YMR058W	
APG12_1	LC-MS/MS			YBR217W	YMR319C	
APG12_1	LC-MS/MS			YBR217W	YNL071W	
APG12_1	LC-MS/MS			YBR217W	YNL208W	
APG12_1	LC-MS/MS			YBR217W	YNR001C	
APG12_1	LC-MS/MS			YBR217W	YOL055C	
APG12_1	LC-MS/MS			YBR217W	YOR086C	
APG12_1	LC-MS/MS			YBR217W	YOR151C	
APG12_1	LC-MS/MS			YBR217W	YPL061W	
APG12_1	LC-MS/MS			YBR217W	YPL235W	
APG12_1	LC-MS/MS			YBR217W	YPR049C	
APG12_1	LC-MS/MS			YBR217W	YPR108W	
APG5_1	LC-MS/MS			YPL149W	YAL012W	
APG5_1	LC-MS/MS			YPL149W	YBL099W	
APG5_1	LC-MS/MS			YPL149W	YBR019C	
APG5_1	LC-MS/MS			YPL149W	YBR020W	
APG5_1	LC-MS/MS			YPL149W	YCL040W	
APG5_1	LC-MS/MS			YPL149W	YER091C	
APG5_1	LC-MS/MS			YPL149W	YFL037W	
APG5_1	LC-MS/MS			YPL149W	YFR053C	
APG5_1	LC-MS/MS			YPL149W	YGL062W	
APG5_1	LC-MS/MS			YPL149W	YGL202W	
APG5_1	LC-MS/MS			YPL149W	YGL253W	
APG5_1	LC-MS/MS			YPL149W	YGR155W	
APG5_1	LC-MS/MS			YPL149W	YJL034W	
APG5_1	LC-MS/MS			YPL149W	YJL052W	
APG5_1	LC-MS/MS			YPL149W	YJL167W	
APG5_1	LC-MS/MS			YPL149W	YJR009C	
APG5_1	LC-MS/MS			YPL149W	YJR045C	
APG5_1	LC-MS/MS			YPL149W	YKL035W	
APG5_1	LC-MS/MS			YPL149W	YKL060C	
APG5_1	LC-MS/MS			YPL149W	YLR259C	
APG5_1	LC-MS/MS			YPL149W	YLR355C	
APG5_1	LC-MS/MS			YPL149W	YMR058W	
APM1_1	LC-MS/MS			YPL259C	YBL039C	
APM1_1	LC-MS/MS			YPL259C	YBL075C	
APM1_1	LC-MS/MS			YPL259C	YBL104C	
APM1_1	LC-MS/MS			YPL259C	YBR018C	
APM1_1	LC-MS/MS			YPL259C	YBR019C	
APM1_1	LC-MS/MS			YPL259C	YBR072W	
APM1_1	LC-MS/MS			YPL259C	YBR127C	
APM1_1	LC-MS/MS			YPL259C	YCL018W	
APM1_1	LC-MS/MS			YPL259C	YCL059C	
APM1_1	LC-MS/MS			YPL259C	YDR099W	
APM1_1	LC-MS/MS			YPL259C	YDR171W	
APM1_1	LC-MS/MS			YPL259C	YDR477W	
APM1_1	LC-MS/MS			YPL259C	YER103W	
APM1_1	LC-MS/MS			YPL259C	YER110C	
APM1_1	LC-MS/MS			YPL259C	YER165W	
APM1_1	LC-MS/MS			YPL259C	YGL234W	
APM1_1	LC-MS/MS			YPL259C	YHR027C	
APM1_1	LC-MS/MS			YPL259C	YHR052W	
APM1_1	LC-MS/MS			YPL259C	YJL034W	
APM1_1	LC-MS/MS			YPL259C	YJL052W	
