# purification_name	identification	day	number	bait	prey	score
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YAL001C	99.6
YAL001C_343_25	MALDI-TOF MS	343	25	YAL001C	YAL001C	3.90594260487719
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YAL005C	99.6
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YBR118W	99.6
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YBR123C	99.6
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YCR012W	99.6
YAL001C_343_25	MALDI-TOF MS	343	25	YAL001C	YDL229W	5.6945419317007
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YDL229W	99.6
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YDR155C	99.6
YAL001C_343_25	MALDI-TOF MS	343	25	YAL001C	YDR362C	6.06391552770462
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YDR362C	99.6
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YDR432W	99.6
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YEL026W	99.6
YAL001C_343_25	MALDI-TOF MS	343	25	YAL001C	YGR047C	4.40423899800959
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YKL152C	99.6
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YLR061W	99.6
YAL001C_343_25	MALDI-TOF MS	343	25	YAL001C	YOR110W	7.72194746346816
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YOR110W	99.6
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YOR204W	99.6
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YOR332W	99.6
YAL001C_343_25	LC-MS/MS	343	25	YAL001C	YPL007C	99.6
YAL001C_394_13	MALDI-TOF MS	394	13	YAL001C	YAL001C	4.578209319786
YAL001C_394_13	MALDI-TOF MS	394	13	YAL001C	YGR047C	4.43928076101725
YAL001C_394_13	LC-MS/MS	394	13	YAL001C	YOR110W	99.6
YAL001C_394_13	MALDI-TOF MS	394	13	YAL001C	YOR110W	9.44474223220871
YAL002W_71_1	MALDI-TOF MS	71	1	YAL002W	YAL005C	5.85142838798569
YAL002W_71_1	MALDI-TOF MS	71	1	YAL002W	YMR231W	4.45801113821036
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YAL003W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YAL005C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YAL035W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YBR118W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YCL037C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YCR088W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YDL229W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YDR272W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YDR382W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YDR432W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YEL034W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YER165W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YFR053C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YGL058W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YGL245W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YGR192C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YGR254W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YGR285C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YHR064C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YIL035C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YJL034W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YJL080C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YJL123C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YKL040C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YKL081W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YKL142W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YLL024C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YLL026W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YLR044C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YLR061W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YLR192C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YLR249W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YMR297W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YNL209W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YOL039W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YOR332W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YPL004C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YPL048W	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YPL106C	99.6
YAL003W_381_15	LC-MS/MS	381	15	YAL003W	YPL237W	99.6
YAL005C_04_AS050503_55B1	LC-MS/MS			YAL005C	YAL005C	99.6
YAL005C_04_AS050503_55B1	LC-MS/MS			YAL005C	YDL229W	99.6
YAL005C_04_AS050503_55B1	LC-MS/MS			YAL005C	YGR192C	99.6
YAL005C_04_AS050503_55B1	LC-MS/MS			YAL005C	YIL091C	99.6
YAL005C_04_AS050503_55B1	LC-MS/MS			YAL005C	YNL007C	99.6
YAL005C_04_AS050503_55B1	LC-MS/MS			YAL005C	YNL289W	99.6
YAL005C_04_AS050503_55B1	LC-MS/MS			YAL005C	YPL106C	99.6
YAL005C_145_22	MALDI-TOF MS	145	22	YAL005C	YAL005C	5.96274235335216
YAL005C_145_22	MALDI-TOF MS	145	22	YAL005C	YLL024C	3.93808844704613
YAL005C_52_4	MALDI-TOF MS	52	4	YAL005C	YAL005C	5.36491532654944
YAL005C_52_5	MALDI-TOF MS	52	5	YAL005C	YAL005C	3.44230581040574
YAL005C_52_5	MALDI-TOF MS	52	5	YAL005C	YLL024C	5.0911739339042
