YAL069W	S000002143
YAL068W-A	S000028594
YAL068C	S000002142
YAL067W-A	S000028593
YAL067C	S000000062
YAL066W	S000000061
YAL065C	S000001817
YAL064W-B	S000002141
YAL064C-A	S000002140
YAL064W	S000000060
YALWdelta1	S000006787
YAL063C-A	S000028813
YAL063C	S000000059
YAL062W	S000000058
YAL061W	S000000057
YAL060W	S000000056
YAL059W	S000000055
YAL059C-A	S000028734
YAL058W	S000000054
YAL056C-A	S000002139
YAL056W	S000000052
YAL055W	S000000051
YAL054C	S000000050
YAL053W	S000000049
YAL051W	S000000048
YAL049C	S000000047
YAL047W-A	S000028733
YAL048C	S000000046
YAL047C	S000000045
YAL046C	S000000044
YAL044W-A	S000007586
YAL045C	S000000043
YAL044C	S000000042
YAL043C	S000000041
YAL042W	S000000040
YAL042C-A	S000002138
YAL041W	S000000039
YAL040C	S000000038
YAL039C	S000000037
YAL038W	S000000036
YAL037C-B	S000028592
YAL037C-A	S000028732
YAL037W	S000000035
YAL036C	S000000034
YAL035W	S000000033
YAL034W-A	S000000032
YAL034C-B	S000002137
YAL034C	S000002134
YAL033W	S000000031
YAL032C	S000000030
YAL031W-A	S000028731
YAL031C	S000000029
YAL030W	S000000028
YAL029C	S000000027
YAL028W	S000000026
YAL027W	S000000025
YAL026C-A	S000028730
YAL026C	S000000024
YAL025C	S000000023
YAL024C	S000000022
YAL023C	S000000021
YAL022C	S000000020
YAL021C	S000000019
YAL019W-A	S000028729
YAL020C	S000000018
YAL019W	S000000017
YAL018C	S000000016
YAL017W	S000000015
YAL016C-B	S000028528
YAL016W	S000000014
YAL016C-A	S000028728
YAL015C	S000000013
YAL014C	S000000012
YAL013W	S000000011
YAL012W	S000000010
YAL011W	S000000009
YAL010C	S000000008
YAL009W	S000000007
YAL008W	S000000006
YAL007C	S000000005
YALCdelta2	S000006786
YAL004W	S000002136
YAL005C	S000000004
YAL003W	S000000003
YAL002W	S000000002
YAL001C	S000000001
YAR002W	S000000063
YAR002C-A	S000002129
YAR003W	S000000064
YAR007C	S000000065
YAR008W	S000000066
YARCdelta3	S000006788
YARCdelta4	S000006789
YAR009C	S000000067
YAR010C	S000000068
YARCTy1-1	S000006792
YARCdelta5	S000006790
YAR014C	S000000069
YAR015W	S000000070
YAR018C	S000000071
YAR019W-A	S000028735
YAR019C	S000000072
YAR020C	S000000073
YAR023C	S000000074
YARWsigma1	S000006795
YARWdelta6	S000006793
YAR027W	S000000075
YAR028W	S000000076
YAR029W	S000000077
YAR031W	S000000078
YAR030C	S000001821
YAR033W	S000000079
YARWdelta7	S000006794
YAR035W	S000000080
YAR035C-A	S000028595
YAR042W	S000000081
YAR047C	S000000083
YAR050W	S000000084
YAR053W	S000000085
YARCdelta8	S000006791
YAR060C	S000000086
YAR061W	S000000087
YAR062W	S000000088
YAR064W	S000000089
YAR066W	S000002144
YAR068W	S000000091
YAR069C	S000000092
YAR070C	S000000093
YAR071W	S000000094
YAR073W	S000000095
YAR075W	S000002145
YJL225W-A	S000028665
YJL225C	S000003760
TEL10L-YP	S000028905
YJL223C	S000003759
YJL222W-B	S000028664
YJL222W-A	S000028663
YJL222W	S000003758
YJL220W	S000003756
YJL221C	S000003757
YJL219W	S000003755
YJL218W	S000003754
YJL217W	S000003753
YJL216C	S000003752
YJL215C	S000003751
YJL214W	S000003750
YJL213W	S000003749
YJL212C	S000003748
YJL210W	S000003746
YJL211C	S000003747
YJL209W	S000003745
